Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,State,Poverty Rate
00601,17599.0,38.9,11757.0,7041.0,11282.0,137.0,64.105915108813
00602,39209.0,40.9,16190.0,8978.0,20428.0,280.0,52.10028309826826
00603,50135.0,40.4,16645.0,10897.0,25176.0,1438.0,50.21641567767029
00606,6304.0,42.8,13387.0,5960.0,4092.0,202.0,64.91116751269035
00610,27590.0,41.4,18741.0,9266.0,12553.0,454.0,45.498368974266036
00612,62566.0,41.4,17744.0,10283.0,29872.0,1157.0,47.74478151072468
00616,10687.0,43.7,14918.0,9002.0,5364.0,188.0,50.19182183961823
00617,24508.0,38.7,17157.0,8762.0,11774.0,78.0,48.041455851150644
00622,7405.0,48.4,16727.0,11935.0,4013.0,43.0,54.193112761647534
00623,42321.0,41.3,16401.0,9101.0,22008.0,214.0,52.00255192457645
00624,23238.0,37.2,16832.0,8072.0,13092.0,220.0,56.338755486702816
00627,32936.0,40.1,17579.0,9738.0,15927.0,243.0,48.35742045178528
00631,1555.0,48.2,9632.0,7690.0,922.0,8.0,59.29260450160772
00637,23610.0,40.9,15736.0,9158.0,11506.0,193.0,48.73358746293943
00638,17202.0,40.3,14448.0,8108.0,9961.0,284.0,57.90605743518196
00641,28332.0,41.9,16292.0,8305.0,14903.0,519.0,52.601298884653396
00646,38008.0,39.4,29160.0,15397.0,12709.0,306.0,33.43769732687855
00647,5610.0,47.1,13071.0,7058.0,3551.0,55.0,63.297682709447415
00650,14664.0,38.6,16095.0,7698.0,8200.0,116.0,55.91925804691762
00652,3681.0,38.8,20564.0,11439.0,1597.0,12.0,43.38494974191796
00653,11717.0,38.7,12236.0,7279.0,7737.0,190.0,66.03226081761544
00656,19546.0,40.3,14966.0,8327.0,10869.0,238.0,55.60728537808247
00659,40978.0,40.7,17770.0,10360.0,18522.0,171.0,45.19986334130509
00660,16474.0,45.1,19674.0,11588.0,6476.0,406.0,39.31042855408523
00662,41341.0,40.6,16771.0,8883.0,21976.0,328.0,53.157882005756996
00664,15396.0,36.3,15401.0,7134.0,9164.0,264.0,59.521953754221876
00667,24089.0,43.6,13843.0,7256.0,14529.0,237.0,60.31383619079248
00669,26510.0,40.9,12996.0,8236.0,14802.0,630.0,55.83553376084497
00670,8797.0,40.1,14456.0,7293.0,4982.0,222.0,56.63294304876663
00674,40826.0,41.1,18032.0,10520.0,18834.0,394.0,46.1323666291089
00676,37862.0,38.6,13416.0,7893.0,21724.0,356.0,57.376789393059006
00677,14569.0,44.6,18333.0,10236.0,7047.0,148.0,48.369826343606285
00678,26642.0,39.3,15730.0,9103.0,13864.0,380.0,52.0381352751295
00680,48035.0,41.6,14500.0,10277.0,23993.0,2288.0,49.948995524097015
00682,32820.0,37.3,15315.0,11236.0,17330.0,753.0,52.80316879951249
00683,31627.0,42.9,15043.0,9547.0,16122.0,577.0,50.97543238372277
00685,38849.0,42.6,14128.0,8080.0,21573.0,680.0,55.53038688254524
00687,31785.0,37.0,18739.0,8816.0,15639.0,402.0,49.20245398773006
00688,12360.0,40.7,15918.0,8636.0,6151.0,104.0,49.76537216828479
00690,5587.0,41.9,18491.0,10644.0,2752.0,127.0,49.257204224091645
00692,36218.0,37.6,18076.0,10586.0,17824.0,424.0,49.213098459329615
00693,56327.0,40.0,18971.0,10209.0,24547.0,867.0,43.57945567844906
00694,88.0,73.1,14375.0,7647.0,42.0,0.0,47.72727272727273
00698,37493.0,42.0,14487.0,8139.0,18728.0,628.0,49.950657456058465
00703,27137.0,40.2,16532.0,10235.0,13350.0,272.0,49.19482625198069
00704,7842.0,36.0,13960.0,7585.0,4461.0,104.0,56.885998469778116
