Zipcode,2015_Population,2016_Population,2017_Population,2018_Population
78681,54923,56086,57234,58665
78701,7051,7401,7875,8072
78702,21477,22617,22876,23448
78703,20530,20815,20788,21308
78704,44668,46474,47158,48337
78705,32346,32414,33075,33902
78712,828,848,845,866
78717,26072,27101,27764,28458
78719,1485,1762,2007,2057
78721,12508,12153,12447,12758
78722,7006,7292,7254,7435
78723,32155,32496,33170,33999
78724,23612,24558,24833,25454
78725,7343,7931,7517,7705
78726,13027,13925,14610,14975
78727,29354,29085,28999,29724
78728,21081,21858,21245,21776
78729,29386,30151,29434,30170
78730,8871,9038,8933,9156
78731,26595,27401,27447,28133
78732,16269,16851,17762,18206
78733,8930,8886,8754,8973
78734,18948,18997,18722,19190
78735,17438,16948,17919,18367
78736,7621,7951,8199,8404
78737,14544,14731,15879,16276
78738,14795,14970,15746,16140
78739,18442,19564,20191,20696
78741,51770,51981,52307,53615
78742,748,714,517,530
78744,46408,47211,48432,49643
78745,59758,61317,62220,63776
78746,27928,27971,28268,28975
78747,18544,19876,20954,21478
78748,46679,47966,49142,50371
78749,36210,36478,37453,38389
78750,28626,29991,30758,31527
78751,14441,14648,14949,15323
78752,20153,19902,20302,20810
78753,55077,56131,58693,60160
78754,19020,21764,23858,24454
78756,8908,8798,8377,8586
78757,23118,23611,24059,24660
78758,46972,46506,46618,47783
78759,40629,41415,41847,42893
