,ZipCode,crime_type,category_description,occ_date_time,latitude,longitude,Dates,Time,Month,Day
173991,78752,DEADLY CONDUCT,Aggravated Assault,2017-12-31T23:39:00.000,30.32504448,-97.69470984,2017-12-31,23:39:00,12,Sunday
173994,78701,BURGLARY OF VEHICLE,Theft,2017-12-31T23:30:00.000,30.26553403,-97.73749138,2017-12-31,23:30:00,12,Sunday
173995,78701,AUTO THEFT,Auto Theft,2017-12-31T23:30:00.000,30.26681904,-97.73467173,2017-12-31,23:30:00,12,Sunday
173996,78741,THEFT,Theft,2017-12-31T23:30:00.000,30.22625287,-97.74478642,2017-12-31,23:30:00,12,Sunday
173997,78741,AGG ASLT STRANGLE/SUFFOCATE,Aggravated Assault,2017-12-31T23:27:00.000,30.23178517,-97.73358414,2017-12-31,23:27:00,12,Sunday
173999,78741,BURGLARY OF VEHICLE,Theft,2017-12-31T23:12:00.000,30.23255819,-97.73196698,2017-12-31,23:12:00,12,Sunday
174002,78741,SEXUAL ASSAULT OF CHILD/OBJECT,Rape,2017-12-31T23:00:00.000,,,2017-12-31,23:00:00,12,Sunday
174004,78701,THEFT,Theft,2017-12-31T23:00:00.000,30.26752644,-97.73972231,2017-12-31,23:00:00,12,Sunday
174005,78758,BURGLARY OF VEHICLE,Theft,2017-12-31T23:00:00.000,30.35875709,-97.69972149,2017-12-31,23:00:00,12,Sunday
174013,78653,BURGLARY OF RESIDENCE,Burglary,2017-12-31T22:40:00.000,30.36528854,-97.60870348,2017-12-31,22:40:00,12,Sunday
174016,78704,BURGLARY OF VEHICLE,Theft,2017-12-31T22:30:00.000,30.2357124,-97.74076359,2017-12-31,22:30:00,12,Sunday
174018,78722,BURGLARY NON RESIDENCE,Burglary,2017-12-31T22:23:00.000,30.29622061,-97.71765563,2017-12-31,22:23:00,12,Sunday
174020,78701,POCKET PICKING,Theft,2017-12-31T22:10:00.000,30.26664758,-97.73869715,2017-12-31,22:10:00,12,Sunday
174023,78741,BURGLARY OF VEHICLE,Theft,2017-12-31T22:00:00.000,30.24180963,-97.73193316,2017-12-31,22:00:00,12,Sunday
174026,78751,THEFT,Theft,2017-12-31T22:00:00.000,30.31739108,-97.70801509,2017-12-31,22:00:00,12,Sunday
174027,78745,BURGLARY OF VEHICLE,Theft,2017-12-31T22:00:00.000,30.2018439,-97.77187305,2017-12-31,22:00:00,12,Sunday
174029,78704,BURGLARY OF VEHICLE,Theft,2017-12-31T22:00:00.000,30.23907718,-97.74612465,2017-12-31,22:00:00,12,Sunday
174032,78704,AGG ROBBERY/DEADLY WEAPON,Robbery,2017-12-31T21:49:00.000,30.23660047,-97.75601337,2017-12-31,21:49:00,12,Sunday
174041,78703,BURGLARY NON RESIDENCE,Burglary,2017-12-31T21:00:00.000,30.27131848,-97.75440524,2017-12-31,21:00:00,12,Sunday
174044,78752,BURGLARY OF RESIDENCE,Burglary,2017-12-31T20:45:00.000,30.32619351,-97.69534738,2017-12-31,20:45:00,12,Sunday
174047,78754,THEFT,Theft,2017-12-31T20:30:00.000,30.34709994,-97.61181128,2017-12-31,20:30:00,12,Sunday
174049,78747,THEFT OF AUTO PARTS,Theft,2017-12-31T20:20:00.000,30.14711552,-97.78577890000001,2017-12-31,20:20:00,12,Sunday
174050,78752,THEFT,Theft,2017-12-31T20:00:00.000,30.33127519,-97.72271039,2017-12-31,20:00:00,12,Sunday
174051,78751,THEFT FROM AUTO,Theft,2017-12-31T20:00:00.000,30.3213783,-97.71901214,2017-12-31,20:00:00,12,Sunday
174052,78741,BURGLARY NON RESIDENCE,Burglary,2017-12-31T20:00:00.000,30.24486764,-97.72380148,2017-12-31,20:00:00,12,Sunday
174065,78758,AUTO THEFT,Auto Theft,2017-12-31T19:00:00.000,30.399168900000003,-97.72357206,2017-12-31,19:00:00,12,Sunday
174066,78741,BURGLARY OF VEHICLE,Theft,2017-12-31T19:00:00.000,30.23255819,-97.73196698,2017-12-31,19:00:00,12,Sunday
174068,78751,THEFT BY SHOPLIFTING,Theft,2017-12-31T18:56:00.000,30.30046112,-97.71965166,2017-12-31,18:56:00,12,Sunday
174069,78753,AGG ROBBERY/DEADLY WEAPON,Robbery,2017-12-31T18:54:00.000,30.35848995,-97.68687776,2017-12-31,18:54:00,12,Sunday
174073,78731,BURGLARY OF VEHICLE,Theft,2017-12-31T18:30:00.000,30.31926227,-97.75481356,2017-12-31,18:30:00,12,Sunday
174074,78613,THEFT,Theft,2017-12-31T18:30:00.000,30.472604800000003,-97.80193522,2017-12-31,18:30:00,12,Sunday
174076,78746,THEFT,Theft,2017-12-31T18:16:00.000,30.25788603,-97.80700704,2017-12-31,18:16:00,12,Sunday
174079,78723,THEFT BY SHOPLIFTING,Theft,2017-12-31T18:00:00.000,30.314000399999994,-97.70804077,2017-12-31,18:00:00,12,Sunday
174080,78717,THEFT BY SHOPLIFTING,Theft,2017-12-31T17:55:00.000,30.47602416,-97.79653623,2017-12-31,17:55:00,12,Sunday
174083,78753,AUTO THEFT,Auto Theft,2017-12-31T17:39:00.000,30.364500699999997,-97.69561269,2017-12-31,17:39:00,12,Sunday
174086,78746,BURGLARY OF RESIDENCE,Burglary,2017-12-31T17:30:00.000,30.287535499999997,-97.83541218,2017-12-31,17:30:00,12,Sunday
174091,78701,BURGLARY OF VEHICLE,Theft,2017-12-31T17:00:00.000,30.26560263,-97.74087977,2017-12-31,17:00:00,12,Sunday
174092,78704,THEFT,Theft,2017-12-31T17:00:00.000,30.23829084,-97.75459354,2017-12-31,17:00:00,12,Sunday
174093,78727,AUTO THEFT,Auto Theft,2017-12-31T17:00:00.000,30.43150847,-97.76299848,2017-12-31,17:00:00,12,Sunday
174095,78701,THEFT,Theft,2017-12-31T17:00:00.000,30.26968892,-97.73636255,2017-12-31,17:00:00,12,Sunday
174096,78759,BURGLARY OF VEHICLE,Theft,2017-12-31T17:00:00.000,30.38206023,-97.76012598,2017-12-31,17:00:00,12,Sunday
174099,78752,BURGLARY OF RESIDENCE,Burglary,2017-12-31T16:51:00.000,30.33500911,-97.71645179,2017-12-31,16:51:00,12,Sunday
174103,78701,BURGLARY NON RESIDENCE,Burglary,2017-12-31T16:19:00.000,30.26968892,-97.73636255,2017-12-31,16:19:00,12,Sunday
174110,78717,BURGLARY NON RESIDENCE,Burglary,2017-12-31T15:36:00.000,30.47244248,-97.79232496,2017-12-31,15:36:00,12,Sunday
174111,78721,SEXUAL ASSAULT OF CHILD/OBJECT,Rape,2017-12-31T15:26:00.000,,,2017-12-31,15:26:00,12,Sunday
